Movie Name,Emotion,Release Date,Genre,IMDb Rating,OTT Platform,Watch Link
Interstellar (89),neutral,2014-11-07,Sci-Fi,5.0,Amazon Prime Video,https://www.amazon.com/dp/-4221511
The Godfather (72),disgust,1972-03-24,Crime,5.7,Hulu,https://www.hulu.com/movie/30129849
The Shawshank Redemption (21),sad,1994-09-23,Drama,6.0,Peacock,https://www.peacocktv.com/watch/-4261107
Coco (40),surprise,2017-11-22,Animation,5.0,Amazon Prime Video,https://www.amazon.com/dp/-3340387
Saving Private Ryan (37),disgust,1998-07-24,War,7.5,Disney+,https://www.disneyplus.com/movies/18810383
Joker (51),fear,2019-10-04,Psychological,6.4,Apple TV+,https://tv.apple.com/movie/-4817433
Pulp Fiction (77),disgust,1994-10-14,Crime,5.7,Disney+,https://www.disneyplus.com/movies/89171980
Gladiator (2),angry,2000-05-05,Action,5.3,Peacock,https://www.peacocktv.com/watch/52372675
Inception (57),neutral,2010-07-16,Sci-Fi,9.2,Amazon Prime Video,https://www.amazon.com/dp/-9171050
Parasite (72),fear,2019-05-30,Thriller,7.0,YouTube Movies,https://www.youtube.com/results?search_query=-4475233
Parasite (55),fear,2019-05-30,Thriller,8.9,Amazon Prime Video,https://www.amazon.com/dp/19435593
The Dark Knight (84),angry,2008-07-18,Action,9.0,Peacock,https://www.peacocktv.com/watch/25021733
Titanic (74),happy,1997-12-19,Romance,8.6,Hulu,https://www.hulu.com/movie/-3892043
Pulp Fiction (64),disgust,1994-10-14,Crime,5.7,Amazon Prime Video,https://www.amazon.com/dp/31007059
Inception (73),neutral,2010-07-16,Sci-Fi,8.1,Peacock,https://www.peacocktv.com/watch/-1841257
Interstellar (65),neutral,2014-11-07,Sci-Fi,7.6,YouTube Movies,https://www.youtube.com/results?search_query=17499853
The Lion King (42),surprise,1994-06-24,Animation,5.3,Hulu,https://www.hulu.com/movie/-5347801
Schindler's List (23),sad,1993-12-15,Historical,5.8,Apple TV+,https://tv.apple.com/movie/-1706871
Pulp Fiction (98),disgust,1994-10-14,Crime,8.6,Netflix,https://www.netflix.com/title/82541375
The Lion King (94),surprise,1994-06-24,Animation,7.8,Peacock,https://www.peacocktv.com/watch/-7732456
Joker (92),fear,2019-10-04,Psychological,5.3,Apple TV+,https://tv.apple.com/movie/44526790
Titanic (15),happy,1997-12-19,Romance,8.6,Apple TV+,https://tv.apple.com/movie/-1696711
Pulp Fiction (66),disgust,1994-10-14,Crime,5.5,Disney+,https://www.disneyplus.com/movies/34656522
Schindler's List (43),sad,1993-12-15,Historical,8.9,Hulu,https://www.hulu.com/movie/82180709
Avengers: Endgame (44),angry,2019-04-26,Action,9.0,HBO Max,https://www.hbomax.com/feature/85750599
Titanic (74),happy,1997-12-19,Romance,9.4,Disney+,https://www.disneyplus.com/movies/-3892043
The Dark Knight (97),angry,2008-07-18,Action,8.6,YouTube Movies,https://www.youtube.com/results?search_query=-7870559
Inception (91),neutral,2010-07-16,Sci-Fi,8.9,Peacock,https://www.peacocktv.com/watch/-1671343
Avengers: Endgame (81),angry,2019-04-26,Action,6.7,Apple TV+,https://tv.apple.com/movie/11385580
Coco (99),surprise,2017-11-22,Animation,7.9,Disney+,https://www.disneyplus.com/movies/10916096
Schindler's List (28),sad,1993-12-15,Historical,7.6,Amazon Prime Video,https://www.amazon.com/dp/57658356
The Shawshank Redemption (82),sad,1994-09-23,Drama,9.2,Hulu,https://www.hulu.com/movie/-8615262
The Grand Budapest Hotel (75),happy,2014-03-28,Comedy,6.3,HBO Max,https://www.hbomax.com/feature/53082218
The Matrix (35),neutral,1999-03-31,Sci-Fi,6.4,Netflix,https://www.netflix.com/title/-1773575
Coco (35),surprise,2017-11-22,Animation,6.1,Amazon Prime Video,https://www.amazon.com/dp/-2745679
Gladiator (42),angry,2000-05-05,Action,7.2,Peacock,https://www.peacocktv.com/watch/-2127758
The Lion King (90),surprise,1994-06-24,Animation,9.2,YouTube Movies,https://www.youtube.com/results?search_query=-3009852
Schindler's List (75),sad,1993-12-15,Historical,7.4,YouTube Movies,https://www.youtube.com/results?search_query=-8949407
The Silence of the Lambs (20),fear,1991-02-14,Thriller,7.1,YouTube Movies,https://www.youtube.com/results?search_query=77528559
Parasite (11),fear,2019-05-30,Thriller,9.2,YouTube Movies,https://www.youtube.com/results?search_query=66745274
Avengers: Endgame (72),angry,2019-04-26,Action,6.2,Apple TV+,https://tv.apple.com/movie/83330117
Saving Private Ryan (47),disgust,1998-07-24,War,5.0,Disney+,https://www.disneyplus.com/movies/13802681
Interstellar (33),neutral,2014-11-07,Sci-Fi,8.1,Netflix,https://www.netflix.com/title/78488468
Forrest Gump (31),sad,1994-07-06,Drama,5.2,Disney+,https://www.disneyplus.com/movies/-2985296
Inside Out (26),surprise,2015-06-19,Animation,7.6,Hulu,https://www.hulu.com/movie/-1272780
Pulp Fiction (87),disgust,1994-10-14,Crime,5.3,HBO Max,https://www.hbomax.com/feature/-5527242
Inside Out (2),surprise,2015-06-19,Animation,7.3,Peacock,https://www.peacocktv.com/watch/48098779
The Godfather (41),disgust,1972-03-24,Crime,6.5,Hulu,https://www.hulu.com/movie/-7259095
The Matrix (59),neutral,1999-03-31,Sci-Fi,5.6,Apple TV+,https://tv.apple.com/movie/-1636594
The Dark Knight (59),angry,2008-07-18,Action,6.5,Disney+,https://www.disneyplus.com/movies/59084899
Schindler's List (32),sad,1993-12-15,Historical,6.5,YouTube Movies,https://www.youtube.com/results?search_query=24261183
The Lion King (21),surprise,1994-06-24,Animation,6.9,YouTube Movies,https://www.youtube.com/results?search_query=70983496
The Godfather (73),disgust,1972-03-24,Crime,5.3,Amazon Prime Video,https://www.amazon.com/dp/37707757
Parasite (20),fear,2019-05-30,Thriller,6.1,Disney+,https://www.disneyplus.com/movies/-3838849
Inception (79),neutral,2010-07-16,Sci-Fi,7.9,Amazon Prime Video,https://www.amazon.com/dp/17985508
Joker (75),fear,2019-10-04,Psychological,8.5,Amazon Prime Video,https://www.amazon.com/dp/52053558
The Lion King (30),surprise,1994-06-24,Animation,7.5,Netflix,https://www.netflix.com/title/-6743441
The Godfather (52),disgust,1972-03-24,Crime,5.0,Disney+,https://www.disneyplus.com/movies/-5831712
Parasite (94),fear,2019-05-30,Thriller,8.9,HBO Max,https://www.hbomax.com/feature/76884652
Titanic (63),happy,1997-12-19,Romance,7.7,Peacock,https://www.peacocktv.com/watch/85687248
The Grand Budapest Hotel (41),happy,2014-03-28,Comedy,8.2,Amazon Prime Video,https://www.amazon.com/dp/-5682606
The Silence of the Lambs (76),fear,1991-02-14,Thriller,5.6,HBO Max,https://www.hbomax.com/feature/14612011
The Grand Budapest Hotel (32),happy,2014-03-28,Comedy,8.1,YouTube Movies,https://www.youtube.com/results?search_query=-6088884
Inside Out (59),surprise,2015-06-19,Animation,8.9,Netflix,https://www.netflix.com/title/85466131
The Grand Budapest Hotel (38),happy,2014-03-28,Comedy,6.3,Netflix,https://www.netflix.com/title/12257518
The Lion King (13),surprise,1994-06-24,Animation,8.0,HBO Max,https://www.hbomax.com/feature/-8787549
Parasite (49),fear,2019-05-30,Thriller,7.4,Disney+,https://www.disneyplus.com/movies/44464164
Avengers: Endgame (81),angry,2019-04-26,Action,8.4,Disney+,https://www.disneyplus.com/movies/11385580
Interstellar (92),neutral,2014-11-07,Sci-Fi,6.5,Apple TV+,https://tv.apple.com/movie/-8135214
Titanic (42),happy,1997-12-19,Romance,5.2,Disney+,https://www.disneyplus.com/movies/-3095512
Pulp Fiction (70),disgust,1994-10-14,Crime,8.2,Peacock,https://www.peacocktv.com/watch/91004501
Titanic (3),happy,1997-12-19,Romance,7.7,HBO Max,https://www.hbomax.com/feature/-4248054
The Grand Budapest Hotel (83),happy,2014-03-28,Comedy,5.8,Amazon Prime Video,https://www.amazon.com/dp/12279420
Coco (20),surprise,2017-11-22,Animation,9.4,Hulu,https://www.hulu.com/movie/-7773043
Saving Private Ryan (81),disgust,1998-07-24,War,8.0,Netflix,https://www.netflix.com/title/-5352243
Saving Private Ryan (57),disgust,1998-07-24,War,9.0,Netflix,https://www.netflix.com/title/86822836
The Dark Knight (4),angry,2008-07-18,Action,8.8,HBO Max,https://www.hbomax.com/feature/76378104
Parasite (43),fear,2019-05-30,Thriller,8.5,Peacock,https://www.peacocktv.com/watch/-5985192
Inside Out (50),surprise,2015-06-19,Animation,5.7,HBO Max,https://www.hbomax.com/feature/-1677156
Joker (16),fear,2019-10-04,Psychological,6.3,YouTube Movies,https://www.youtube.com/results?search_query=-5704449
Saving Private Ryan (60),disgust,1998-07-24,War,7.1,Peacock,https://www.peacocktv.com/watch/-3184618
Inception (44),neutral,2010-07-16,Sci-Fi,8.7,Hulu,https://www.hulu.com/movie/10307303
The Dark Knight (89),angry,2008-07-18,Action,5.6,Disney+,https://www.disneyplus.com/movies/87222331
Parasite (49),fear,2019-05-30,Thriller,8.5,HBO Max,https://www.hbomax.com/feature/44464164
The Dark Knight (16),angry,2008-07-18,Action,7.2,Apple TV+,https://tv.apple.com/movie/55111372
The Godfather (8),disgust,1972-03-24,Crime,8.1,Hulu,https://www.hulu.com/movie/-5470169
The Dark Knight (76),angry,2008-07-18,Action,8.8,YouTube Movies,https://www.youtube.com/results?search_query=32419265
The Silence of the Lambs (11),fear,1991-02-14,Thriller,6.2,YouTube Movies,https://www.youtube.com/results?search_query=-9454977
Pulp Fiction (91),disgust,1994-10-14,Crime,6.3,Disney+,https://www.disneyplus.com/movies/12932323
The Dark Knight (21),angry,2008-07-18,Action,8.8,YouTube Movies,https://www.youtube.com/results?search_query=90006622
The Dark Knight (3),angry,2008-07-18,Action,5.9,Apple TV+,https://tv.apple.com/movie/77095054
Titanic (46),happy,1997-12-19,Romance,5.1,Peacock,https://www.peacocktv.com/watch/75157874
The Shawshank Redemption (78),sad,1994-09-23,Drama,9.5,Hulu,https://www.hulu.com/movie/-8566652
The Grand Budapest Hotel (95),happy,2014-03-28,Comedy,9.0,HBO Max,https://www.hbomax.com/feature/43871616
Forrest Gump (17),sad,1994-07-06,Drama,5.2,Hulu,https://www.hulu.com/movie/85125498
Pulp Fiction (14),disgust,1994-10-14,Crime,7.1,Hulu,https://www.hulu.com/movie/51204503
The Grand Budapest Hotel (94),happy,2014-03-28,Comedy,6.8,Amazon Prime Video,https://www.amazon.com/dp/-8930106
The Shawshank Redemption (67),sad,1994-09-23,Drama,6.8,Apple TV+,https://tv.apple.com/movie/57800027
The Silence of the Lambs (47),fear,1991-02-14,Thriller,5.1,Hulu,https://www.hulu.com/movie/-5439783
Coco (78),surprise,2017-11-22,Animation,5.1,HBO Max,https://www.hbomax.com/feature/-4395857
The Silence of the Lambs (98),fear,1991-02-14,Thriller,8.9,Disney+,https://www.disneyplus.com/movies/-3300463
Saving Private Ryan (5),disgust,1998-07-24,War,5.4,Hulu,https://www.hulu.com/movie/73762320
Forrest Gump (98),sad,1994-07-06,Drama,6.7,Netflix,https://www.netflix.com/title/-3124737
The Shawshank Redemption (48),sad,1994-09-23,Drama,8.3,Apple TV+,https://tv.apple.com/movie/-6264039
Forrest Gump (13),sad,1994-07-06,Drama,7.8,Apple TV+,https://tv.apple.com/movie/38417456
Pulp Fiction (71),disgust,1994-10-14,Crime,9.2,YouTube Movies,https://www.youtube.com/results?search_query=-8896911
Avengers: Endgame (82),angry,2019-04-26,Action,9.5,Apple TV+,https://tv.apple.com/movie/-2200259
Gladiator (69),angry,2000-05-05,Action,8.1,HBO Max,https://www.hbomax.com/feature/-4956007
Forrest Gump (43),sad,1994-07-06,Drama,7.0,Hulu,https://www.hulu.com/movie/32608977
Joker (2),fear,2019-10-04,Psychological,8.2,YouTube Movies,https://www.youtube.com/results?search_query=-3921774
Titanic (41),happy,1997-12-19,Romance,8.8,YouTube Movies,https://www.youtube.com/results?search_query=-8412473
The Shawshank Redemption (15),sad,1994-09-23,Drama,9.0,Netflix,https://www.netflix.com/title/75366077
The Lion King (56),surprise,1994-06-24,Animation,5.7,Hulu,https://www.hulu.com/movie/-3308817
Inception (93),neutral,2010-07-16,Sci-Fi,6.3,Netflix,https://www.netflix.com/title/-3668062
The Godfather (87),disgust,1972-03-24,Crime,5.3,YouTube Movies,https://www.youtube.com/results?search_query=-4823781
Avengers: Endgame (53),angry,2019-04-26,Action,7.5,Amazon Prime Video,https://www.amazon.com/dp/-7350546
The Shawshank Redemption (51),sad,1994-09-23,Drama,8.0,Hulu,https://www.hulu.com/movie/55732973
Avengers: Endgame (73),angry,2019-04-26,Action,6.1,Apple TV+,https://tv.apple.com/movie/71255625
Avengers: Endgame (30),angry,2019-04-26,Action,6.2,Hulu,https://www.hulu.com/movie/10413190
Coco (71),surprise,2017-11-22,Animation,6.7,Apple TV+,https://tv.apple.com/movie/-2144519
The Silence of the Lambs (5),fear,1991-02-14,Thriller,7.4,Apple TV+,https://tv.apple.com/movie/78963540
The Godfather (82),disgust,1972-03-24,Crime,5.4,Disney+,https://www.disneyplus.com/movies/-5255830
Titanic (60),happy,1997-12-19,Romance,8.9,Disney+,https://www.disneyplus.com/movies/-4874308
Gladiator (83),angry,2000-05-05,Action,5.9,Netflix,https://www.netflix.com/title/-5931121
Inception (99),neutral,2010-07-16,Sci-Fi,8.1,Hulu,https://www.hulu.com/movie/51436753
Pulp Fiction (85),disgust,1994-10-14,Crime,9.1,YouTube Movies,https://www.youtube.com/results?search_query=51534715
Pulp Fiction (85),disgust,1994-10-14,Crime,9.4,YouTube Movies,https://www.youtube.com/results?search_query=51534715
Forrest Gump (68),sad,1994-07-06,Drama,5.2,YouTube Movies,https://www.youtube.com/results?search_query=-2115409
Titanic (67),happy,1997-12-19,Romance,7.9,Apple TV+,https://tv.apple.com/movie/63787132
The Lion King (51),surprise,1994-06-24,Animation,9.4,Apple TV+,https://tv.apple.com/movie/-6180251
The Lion King (23),surprise,1994-06-24,Animation,8.7,Apple TV+,https://tv.apple.com/movie/-3733836
Inside Out (83),surprise,2015-06-19,Animation,5.1,Netflix,https://www.netflix.com/title/-6642236
The Grand Budapest Hotel (55),happy,2014-03-28,Comedy,8.6,YouTube Movies,https://www.youtube.com/results?search_query=-5146936
Joker (66),fear,2019-10-04,Psychological,8.6,Netflix,https://www.netflix.com/title/-4426776
Titanic (81),happy,1997-12-19,Romance,8.7,Netflix,https://www.netflix.com/title/-7089650
Joker (90),fear,2019-10-04,Psychological,5.3,Hulu,https://www.hulu.com/movie/-5082387
Coco (23),surprise,2017-11-22,Animation,6.6,Peacock,https://www.peacocktv.com/watch/-3184978
Gladiator (57),angry,2000-05-05,Action,6.7,Peacock,https://www.peacocktv.com/watch/-4157495
Avengers: Endgame (68),angry,2019-04-26,Action,5.6,HBO Max,https://www.hbomax.com/feature/54579961
Titanic (41),happy,1997-12-19,Romance,8.6,Peacock,https://www.peacocktv.com/watch/-8412473
Interstellar (70),neutral,2014-11-07,Sci-Fi,5.8,HBO Max,https://www.hbomax.com/feature/18034538
Coco (31),surprise,2017-11-22,Animation,5.8,Peacock,https://www.peacocktv.com/watch/-2005852
Coco (55),surprise,2017-11-22,Animation,9.4,Peacock,https://www.peacocktv.com/watch/78900679
Titanic (15),happy,1997-12-19,Romance,6.0,Amazon Prime Video,https://www.amazon.com/dp/-1696711
Saving Private Ryan (10),disgust,1998-07-24,War,8.8,YouTube Movies,https://www.youtube.com/results?search_query=-1226664
Titanic (78),happy,1997-12-19,Romance,5.8,Netflix,https://www.netflix.com/title/-6691371
Gladiator (70),angry,2000-05-05,Action,8.9,YouTube Movies,https://www.youtube.com/results?search_query=-1867205
The Grand Budapest Hotel (20),happy,2014-03-28,Comedy,8.5,Peacock,https://www.peacocktv.com/watch/12048845
Avengers: Endgame (32),angry,2019-04-26,Action,9.3,Amazon Prime Video,https://www.amazon.com/dp/-6649208
The Matrix (20),neutral,1999-03-31,Sci-Fi,7.1,HBO Max,https://www.hbomax.com/feature/68662154
Joker (24),fear,2019-10-04,Psychological,7.5,Amazon Prime Video,https://www.amazon.com/dp/65947531
Parasite (50),fear,2019-05-30,Thriller,9.1,HBO Max,https://www.hbomax.com/feature/-7759773
Gladiator (16),angry,2000-05-05,Action,6.5,HBO Max,https://www.hbomax.com/feature/-8096512
Avengers: Endgame (20),angry,2019-04-26,Action,8.2,Netflix,https://www.netflix.com/title/-3149484
The Dark Knight (89),angry,2008-07-18,Action,8.9,Hulu,https://www.hulu.com/movie/87222331
The Grand Budapest Hotel (80),happy,2014-03-28,Comedy,7.0,Netflix,https://www.netflix.com/title/-1352066
Saving Private Ryan (37),disgust,1998-07-24,War,7.0,Apple TV+,https://tv.apple.com/movie/18810383
Gladiator (15),angry,2000-05-05,Action,6.8,Hulu,https://www.hulu.com/movie/74090110
Joker (16),fear,2019-10-04,Psychological,5.5,YouTube Movies,https://www.youtube.com/results?search_query=-5704449
Gladiator (64),angry,2000-05-05,Action,8.7,Apple TV+,https://tv.apple.com/movie/30656955
Gladiator (89),angry,2000-05-05,Action,6.1,Peacock,https://www.peacocktv.com/watch/-7343023
The Godfather (42),disgust,1972-03-24,Crime,7.1,Peacock,https://www.peacocktv.com/watch/18905935
Coco (92),surprise,2017-11-22,Animation,6.8,Peacock,https://www.peacocktv.com/watch/-6084234
The Grand Budapest Hotel (26),happy,2014-03-28,Comedy,8.5,HBO Max,https://www.hbomax.com/feature/-8629253
Schindler's List (34),sad,1993-12-15,Historical,5.5,HBO Max,https://www.hbomax.com/feature/70933789
The Silence of the Lambs (14),fear,1991-02-14,Thriller,8.4,HBO Max,https://www.hbomax.com/feature/-9071162
Inception (89),neutral,2010-07-16,Sci-Fi,7.8,Amazon Prime Video,https://www.amazon.com/dp/89406823
Titanic (86),happy,1997-12-19,Romance,5.2,Peacock,https://www.peacocktv.com/watch/-1387617
Schindler's List (27),sad,1993-12-15,Historical,7.8,HBO Max,https://www.hbomax.com/feature/56795872
Joker (7),fear,2019-10-04,Psychological,6.7,Amazon Prime Video,https://www.amazon.com/dp/15728277
Forrest Gump (54),sad,1994-07-06,Drama,8.0,Amazon Prime Video,https://www.amazon.com/dp/-1351835
Gladiator (98),angry,2000-05-05,Action,7.7,Amazon Prime Video,https://www.amazon.com/dp/39360406
The Godfather (55),disgust,1972-03-24,Crime,5.2,HBO Max,https://www.hbomax.com/feature/27795776
The Silence of the Lambs (61),fear,1991-02-14,Thriller,7.7,Apple TV+,https://tv.apple.com/movie/-8074758
Joker (84),fear,2019-10-04,Psychological,7.6,Apple TV+,https://tv.apple.com/movie/52156666
Pulp Fiction (76),disgust,1994-10-14,Crime,7.4,HBO Max,https://www.hbomax.com/feature/54097204
Pulp Fiction (73),disgust,1994-10-14,Crime,9.2,YouTube Movies,https://www.youtube.com/results?search_query=83500248
The Grand Budapest Hotel (15),happy,2014-03-28,Comedy,8.7,Amazon Prime Video,https://www.amazon.com/dp/-6397599
Titanic (10),happy,1997-12-19,Romance,5.4,Disney+,https://www.disneyplus.com/movies/61474859
Forrest Gump (33),sad,1994-07-06,Drama,6.6,Amazon Prime Video,https://www.amazon.com/dp/91316139
Inside Out (56),surprise,2015-06-19,Animation,6.8,Disney+,https://www.disneyplus.com/movies/38086226
The Lion King (87),surprise,1994-06-24,Animation,8.3,Netflix,https://www.netflix.com/title/-6488115
Titanic (32),happy,1997-12-19,Romance,9.0,YouTube Movies,https://www.youtube.com/results?search_query=-2776304
Inside Out (47),surprise,2015-06-19,Animation,6.5,Hulu,https://www.hulu.com/movie/-6181606
Joker (16),fear,2019-10-04,Psychological,7.7,Hulu,https://www.hulu.com/movie/-5704449
The Matrix (79),neutral,1999-03-31,Sci-Fi,6.5,Apple TV+,https://tv.apple.com/movie/83600099
Titanic (3),happy,1997-12-19,Romance,5.5,Apple TV+,https://tv.apple.com/movie/-4248054
Schindler's List (40),sad,1993-12-15,Historical,6.9,Netflix,https://www.netflix.com/title/-7767829
Inside Out (5),surprise,2015-06-19,Animation,7.4,HBO Max,https://www.hbomax.com/feature/46775638
Inception (47),neutral,2010-07-16,Sci-Fi,6.5,YouTube Movies,https://www.youtube.com/results?search_query=42599295
The Grand Budapest Hotel (19),happy,2014-03-28,Comedy,7.1,Peacock,https://www.peacocktv.com/watch/23651950
The Godfather (57),disgust,1972-03-24,Crime,5.4,Amazon Prime Video,https://www.amazon.com/dp/74957000
Forrest Gump (21),sad,1994-07-06,Drama,6.4,YouTube Movies,https://www.youtube.com/results?search_query=13018752
Gladiator (83),angry,2000-05-05,Action,6.5,YouTube Movies,https://www.youtube.com/results?search_query=-5931121
The Godfather (95),disgust,1972-03-24,Crime,7.2,Disney+,https://www.disneyplus.com/movies/72457235
The Silence of the Lambs (89),fear,1991-02-14,Thriller,7.6,Peacock,https://www.peacocktv.com/watch/36979933
The Shawshank Redemption (69),sad,1994-09-23,Drama,9.5,Netflix,https://www.netflix.com/title/69385408
Schindler's List (84),sad,1993-12-15,Historical,7.3,Disney+,https://www.disneyplus.com/movies/-5515573
Titanic (41),happy,1997-12-19,Romance,8.5,Disney+,https://www.disneyplus.com/movies/-8412473
Inside Out (36),surprise,2015-06-19,Animation,8.0,Apple TV+,https://tv.apple.com/movie/-1295329
Saving Private Ryan (9),disgust,1998-07-24,War,6.2,Amazon Prime Video,https://www.amazon.com/dp/72815629
Gladiator (85),angry,2000-05-05,Action,6.9,Hulu,https://www.hulu.com/movie/-7260829
Schindler's List (70),sad,1993-12-15,Historical,8.5,Peacock,https://www.peacocktv.com/watch/21281911
Saving Private Ryan (90),disgust,1998-07-24,War,7.6,Netflix,https://www.netflix.com/title/-9053002
Interstellar (26),neutral,2014-11-07,Sci-Fi,5.5,YouTube Movies,https://www.youtube.com/results?search_query=19743055
Parasite (61),fear,2019-05-30,Thriller,5.5,Amazon Prime Video,https://www.amazon.com/dp/57623580
Inception (40),neutral,2010-07-16,Sci-Fi,7.9,HBO Max,https://www.hbomax.com/feature/-1925981
Schindler's List (69),sad,1993-12-15,Historical,8.7,YouTube Movies,https://www.youtube.com/results?search_query=73508184
Coco (58),surprise,2017-11-22,Animation,7.9,Amazon Prime Video,https://www.amazon.com/dp/-6665202
The Godfather (86),disgust,1972-03-24,Crime,8.7,Netflix,https://www.netflix.com/title/-4829489
Inception (4),neutral,2010-07-16,Sci-Fi,7.7,Disney+,https://www.disneyplus.com/movies/-5748493
The Silence of the Lambs (18),fear,1991-02-14,Thriller,6.1,Hulu,https://www.hulu.com/movie/-7633584
Saving Private Ryan (25),disgust,1998-07-24,War,5.8,Hulu,https://www.hulu.com/movie/-8336091
Joker (34),fear,2019-10-04,Psychological,7.0,Netflix,https://www.netflix.com/title/59485580
Gladiator (15),angry,2000-05-05,Action,7.9,Apple TV+,https://tv.apple.com/movie/74090110
Coco (95),surprise,2017-11-22,Animation,5.6,Hulu,https://www.hulu.com/movie/22992590
Pulp Fiction (80),disgust,1994-10-14,Crime,6.7,Amazon Prime Video,https://www.amazon.com/dp/-1316371
The Matrix (26),neutral,1999-03-31,Sci-Fi,9.4,Netflix,https://www.netflix.com/title/15125214
The Silence of the Lambs (34),fear,1991-02-14,Thriller,6.2,Amazon Prime Video,https://www.amazon.com/dp/-4470020
The Grand Budapest Hotel (5),happy,2014-03-28,Comedy,7.6,HBO Max,https://www.hbomax.com/feature/-7440949
Coco (41),surprise,2017-11-22,Animation,8.7,YouTube Movies,https://www.youtube.com/results?search_query=82302499
Gladiator (82),angry,2000-05-05,Action,5.1,HBO Max,https://www.hbomax.com/feature/38620488
The Grand Budapest Hotel (74),happy,2014-03-28,Comedy,8.6,Disney+,https://www.disneyplus.com/movies/51117057
Inside Out (10),surprise,2015-06-19,Animation,6.4,Hulu,https://www.hulu.com/movie/-7397546
Interstellar (14),neutral,2014-11-07,Sci-Fi,8.2,HBO Max,https://www.hbomax.com/feature/-6947407
Schindler's List (85),sad,1993-12-15,Historical,7.7,Netflix,https://www.netflix.com/title/-5002570
The Grand Budapest Hotel (68),happy,2014-03-28,Comedy,9.2,Peacock,https://www.peacocktv.com/watch/17827238
Interstellar (91),neutral,2014-11-07,Sci-Fi,8.8,Disney+,https://www.disneyplus.com/movies/-5976468
Saving Private Ryan (22),disgust,1998-07-24,War,7.1,Peacock,https://www.peacocktv.com/watch/-3768660
Forrest Gump (96),sad,1994-07-06,Drama,7.7,YouTube Movies,https://www.youtube.com/results?search_query=-2745137
The Godfather (65),disgust,1972-03-24,Crime,8.5,Netflix,https://www.netflix.com/title/-7284486
Avengers: Endgame (82),angry,2019-04-26,Action,7.3,Disney+,https://www.disneyplus.com/movies/-2200259
Forrest Gump (53),sad,1994-07-06,Drama,6.0,YouTube Movies,https://www.youtube.com/results?search_query=50413791
Avengers: Endgame (68),angry,2019-04-26,Action,9.0,Peacock,https://www.peacocktv.com/watch/54579961
The Matrix (84),neutral,1999-03-31,Sci-Fi,5.4,Amazon Prime Video,https://www.amazon.com/dp/74955537
Saving Private Ryan (4),disgust,1998-07-24,War,7.6,Netflix,https://www.netflix.com/title/40579251
The Grand Budapest Hotel (30),happy,2014-03-28,Comedy,7.9,Hulu,https://www.hulu.com/movie/-8261599
Inception (47),neutral,2010-07-16,Sci-Fi,9.1,Netflix,https://www.netflix.com/title/42599295
The Matrix (89),neutral,1999-03-31,Sci-Fi,5.3,Apple TV+,https://tv.apple.com/movie/-4371322
The Lion King (53),surprise,1994-06-24,Animation,7.9,Peacock,https://www.peacocktv.com/watch/-7926286
Pulp Fiction (32),disgust,1994-10-14,Crime,7.9,Amazon Prime Video,https://www.amazon.com/dp/-5360097
Forrest Gump (99),sad,1994-07-06,Drama,9.1,HBO Max,https://www.hbomax.com/feature/27150899
Pulp Fiction (62),disgust,1994-10-14,Crime,5.8,Disney+,https://www.disneyplus.com/movies/-6588424
The Matrix (63),neutral,1999-03-31,Sci-Fi,5.2,Apple TV+,https://tv.apple.com/movie/-3617553
Joker (31),fear,2019-10-04,Psychological,6.3,Disney+,https://www.disneyplus.com/movies/-2283019
The Silence of the Lambs (87),fear,1991-02-14,Thriller,8.4,Peacock,https://www.peacocktv.com/watch/49612152
The Grand Budapest Hotel (95),happy,2014-03-28,Comedy,8.0,YouTube Movies,https://www.youtube.com/results?search_query=43871616
Inside Out (32),surprise,2015-06-19,Animation,7.4,Peacock,https://www.peacocktv.com/watch/59539552
Titanic (8),happy,1997-12-19,Romance,7.0,Apple TV+,https://tv.apple.com/movie/40624929
The Dark Knight (74),angry,2008-07-18,Action,6.8,Peacock,https://www.peacocktv.com/watch/-8697886
The Matrix (78),neutral,1999-03-31,Sci-Fi,9.4,YouTube Movies,https://www.youtube.com/results?search_query=12238480
The Shawshank Redemption (40),sad,1994-09-23,Drama,6.8,Amazon Prime Video,https://www.amazon.com/dp/-7464795
Titanic (28),happy,1997-12-19,Romance,8.7,Apple TV+,https://tv.apple.com/movie/-2893125
Coco (79),surprise,2017-11-22,Animation,7.2,Disney+,https://www.disneyplus.com/movies/73735569
Pulp Fiction (100),disgust,1994-10-14,Crime,8.4,Netflix,https://www.netflix.com/title/23321385
The Godfather (16),disgust,1972-03-24,Crime,7.6,Netflix,https://www.netflix.com/title/-3105663
The Lion King (59),surprise,1994-06-24,Animation,8.2,Peacock,https://www.peacocktv.com/watch/-4834240
Avengers: Endgame (38),angry,2019-04-26,Action,8.6,Netflix,https://www.netflix.com/title/-7708220
The Shawshank Redemption (18),sad,1994-09-23,Drama,8.9,Amazon Prime Video,https://www.amazon.com/dp/16879501
Inside Out (42),surprise,2015-06-19,Animation,7.9,HBO Max,https://www.hbomax.com/feature/37971660
Forrest Gump (35),sad,1994-07-06,Drama,7.2,Amazon Prime Video,https://www.amazon.com/dp/55604584
Gladiator (47),angry,2000-05-05,Action,9.3,Amazon Prime Video,https://www.amazon.com/dp/-1473355
Interstellar (66),neutral,2014-11-07,Sci-Fi,5.3,Hulu,https://www.hulu.com/movie/-6136911
